ref,legend,matrix_row,matrix_col,width_u,center_x_mm,center_y_mm
SW00,Tab,0,0,1.25,11.906,9.525
SW01,Q,0,1,1,33.337,9.525
SW02,W,0,2,1,52.388,9.525
SW03,E,0,3,1,71.438,9.525
SW04,R,0,4,1,90.487,9.525
SW05,T,0,5,1,109.538,9.525
SW10,Esc/Ctrl,1,0,1.5,14.288,28.575
SW11,A,1,1,1,38.1,28.575
SW12,S,1,2,1,57.15,28.575
SW13,D,1,3,1,76.2,28.575
SW14,F,1,4,1,95.25,28.575
SW15,G,1,5,1,114.3,28.575
SW20,Shift,2,0,1.75,16.669,47.625
SW21,Z,2,1,1,42.863,47.625
SW22,X,2,2,1,61.913,47.625
SW23,C,2,3,1,80.963,47.625
SW24,V,2,4,1,100.013,47.625
SW25,B,2,5,1,119.062,47.625
SW30,Ctrl,3,0,1.25,11.906,66.675
SW31,GUI,3,1,1,33.337,66.675
SW32,Alt,3,2,1.25,54.769,66.675
SW33,Space,3,3,2.75,92.869,66.675
