ref,legend,matrix_row,matrix_col,width_u,center_x_mm,center_y_mm
SW00,Y,0,0,1,9.525,9.525
SW01,U,0,1,1,28.575,9.525
SW02,I,0,2,1,47.625,9.525
SW03,O,0,3,1,66.675,9.525
SW04,P,0,4,1,85.725,9.525
SW05,Bksp,0,5,1.5,109.538,9.525
SW10,H,1,0,1,14.288,28.575
SW11,J,1,1,1,33.337,28.575
SW12,K,1,2,1,52.388,28.575
SW13,L,1,3,1,71.438,28.575
SW14,;,1,4,1,90.487,28.575
SW15,Enter,1,5,1.25,111.919,28.575
SW20,N,2,0,1,19.05,47.625
SW21,M,2,1,1,38.1,47.625
SW22,",",2,2,1,57.15,47.625
SW23,.,2,3,1,76.2,47.625
SW24,Shift,2,4,2,104.775,47.625
SW30,Space,3,0,2.75,26.194,66.675
SW31,Fn,3,1,1.25,64.294,66.675
SW32,Alt,3,2,1.25,88.106,66.675
SW33,Ctrl,3,3,1.25,111.919,66.675
